"order_item_id","order_id","product_id","variation_id","customer_id","date_created","product_qty","product_net_revenue","product_gross_revenue","coupon_amount","tax_amount","shipping_amount","shipping_tax_amount"
"204","242057","6711","226202","12","2023-03-12 18:26:47","1","1631","1631","0","0","0","0"
"205","242423","240197","240199","13","2023-03-14 20:03:46","1","1015","1015","0","0","0","0"
"213","242463","228312","228324","18","2023-03-16 12:00:46","1","1130","1130","0","0","0","0"
"214","242570","240104","240107","19","2023-03-16 18:48:22","1","1100","1100","0","0","0","0"
"215","242817","6790","226327","20","2023-03-17 18:15:49","1","980","980","0","0","0","0"
"216","242818","227776","227780","20","2023-03-17 18:17:15","1","1675","1675","0","0","0","0"
"217","242819","226899","226901","20","2023-03-17 18:18:49","1","805","805","0","0","0","0"
"219","243177","6711","226197","22","2023-03-20 10:45:28","1","980","980","0","0","0","0"
"220","243247","6790","226333","23","2023-03-20 13:02:26","1","980","980","0","0","0","0"
"221","243248","6790","226332","23","2023-03-20 13:04:23","1","1631","1631","0","0","0","0"
"222","244417","240213","240216","25","2023-03-23 15:21:26","1","930","930","0","0","0","0"
"223","244431","240213","240216","26","2023-03-24 10:39:42","1","930","930","0","0","0","0"
"224","244457","238179","238196","27","2023-03-25 19:55:44","1","1281.5","1281.5","0","0","0","0"
"226","244501","242439","242444","29","2023-03-27 10:03:38","2","1270","1270","0","0","0","0"
"227","244538","227776","227781","30","2023-03-27 14:16:06","1","1675","1675","0","0","0","0"
"228","244541","5991","226304","31","2023-03-27 20:52:31","1","890","890","0","0","0","0"
"229","244542","5991","226304","32","2023-03-27 20:52:40","1","890","890","0","0","0","0"
"231","244547","242606","242694","34","2023-03-28 19:59:54","1","1505","1505","0","0","0","0"
"232","244548","228447","228457","35","2023-03-28 21:41:50","1","770","770","0","0","0","0"
"233","244549","232007","232012","36","2023-03-29 17:42:30","1","769","769","0","0","0","0"
"234","244551","231805","231816","37","2023-03-30 21:24:00","1","826.5","826.5","0","0","0","0"
"235","244580","231953","231960","38","2023-04-02 10:03:24","1","684","684","0","0","0","0"
"236","244581","231805","231816","40","2023-04-02 21:36:49","1","826.5","826.5","0","0","0","0"
"239","244607","243434","243445","43","2023-04-04 17:29:29","1","2391","2391","0","0","0","0"
"241","244629","232249","232251","45","2023-04-05 19:39:22","1","2999","2999","0","0","0","0"
